Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Isle of Man,Europe,9970,11724.998,232,272.838,0,60,70.562,3,3.528,0
Yemen,Eastern Mediterranean,9883,33.136,84,0.282,13,1909,6.4,19,0.064,0
New Zealand,Western Pacific,7414,153.746,1053,21.836,128,32,0.664,4,0.083,0
United States Virgin Islands,Americas,7275,6966.723,71,67.991,0,83,79.483,2,1.915,0
Eritrea,Africa,6959,196.226,120,3.384,11,47,1.325,2,0.056,1
Niger,Africa,6531,26.98,165,0.682,20,223,0.921,10,0.041,2
Sierra Leone,Africa,6398,80.206,0,0,0,121,1.517,0,0,0
Gibraltar,Europe,6168,18307.56,176,522.395,15,98,290.879,0,0,0
Guinea-Bissau,Africa,6150,312.5,16,0.813,0,143,7.266,2,0.102,0
Grenada,Americas,5861,5208.713,21,18.663,0,198,175.964,0,0,0
Liberia,Africa,5817,115.013,2,0.04,2,287,5.675,0,0,0
Bermuda,Americas,5677,9116.31,30,48.175,0,106,170.218,5,8.029,0
San Marino,Europe,5610,16530.143,41,120.809,12,92,271.083,0,0,0
Saint Vincent and the Grenadines,Americas,5123,4617.811,128,115.378,31,69,62.196,1,0.901,0
Chad,Africa,5107,31.091,0,0,0,175,1.065,0,0,0
Dominica,Americas,4961,6891.139,178,247.253,0,32,44.45,0,0,0
Sint Maarten,Americas,4510,10517.233,22,51.304,9,75,174.899,0,0,0
Comoros,Africa,4321,496.895,49,5.635,0,147,16.904,0,0,0
Antigua and Barbuda,Americas,4091,4177.516,29,29.613,0,105,107.221,3,3.063,0
Saint Martin,Americas,3975,10282.211,34,87.948,0,38,98.295,1,2.587,0
Liechtenstein,Europe,3781,9758.175,83,214.21,1,58,149.689,0,0,0
Sao Tome and Principe,Africa,3729,1701.504,15,6.844,0,56,25.552,0,0,0
Monaco,Europe,3439,8763.123,23,58.608,2,36,91.734,0,0,0
Turks and Caicos Islands,Americas,3017,7792.241,35,90.397,6,23,59.404,0,0,0
British Virgin Islands,Americas,2745,9078.282,20,66.144,20,38,125.674,1,3.307,1
Saint Kitts and Nevis,Americas,2717,5107.911,48,90.239,0,25,47,2,3.76,0
Cayman Islands,Americas,2676,4071.82,1026,1561.169,0,2,3.043,0,0,0
Faroe Islands,Europe,2667,5457.894,455,931.137,52,6,12.279,3,6.139,1
Bhutan,South-East Asia,2623,339.939,2,0.259,0,3,0.389,0,0,0
Bonaire,Americas,2482,11867.081,110,525.938,46,20,95.625,1,4.781,1
Guernsey,Europe,2420,3753.8,250,387.789,37,23,35.677,0,0,0
Saint Barthélemy,Americas,1661,16803.237,2,20.233,0,4,40.465,0,0,0
Anguilla,Americas,1039,6925.743,95,633.249,0,1,6.666,0,0,0
Greenland,Europe,882,1553.583,72,126.823,23,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Wallis and Futuna,Western Pacific,454,4036.991,0,0,0,7,62.244,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,360,625.467,42,72.971,9,3,5.212,0,0,0
Falkland Islands (Malvinas),Americas,78,2239.449,9,258.398,0,0,0,0,0,0
Montserrat,Americas,41,820.164,0,0,0,1,20.004,0,0,0
Saint Pierre and Miquelon,Americas,32,552.2,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,29,923.861,1,31.857,1,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Solomon Islands,Western Pacific,20,2.912,0,0,0,0,0,0,0,0
Saba,Americas,11,569.064,0,0,0,0,0,0,0,0
Palau,Western Pacific,8,44.218,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,5,1.628,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,4,7.247,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.504,0,0,0,0,0,0,0,0
Tonga,Western Pacific,1,0.946,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
